127.0.0.1 - - [10/Apr/2017:16:51:50 +0800] "GET / HTTP/1.1" 404 306
127.0.0.1 - - [10/Apr/2017:16:51:55 +0800] "GET /services HTTP/1.1" 200 11586
127.0.0.1 - - [10/Apr/2017:16:51:55 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:16:51:55 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [10/Apr/2017:16:51:55 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:16:51:55 +0800] "GET /image/add.png HTTP/1.1" 200 1062
127.0.0.1 - - [10/Apr/2017:16:51:56 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:16:52:00 +0800] "GET /services/form HTTP/1.1" 200 11655
127.0.0.1 - - [10/Apr/2017:16:52:00 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:16:52:00 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:16:52:00 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:16:52:00 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:16:52:00 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:16:52:29 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [10/Apr/2017:16:52:29 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:16:52:29 +0800] "GET /image/add.png HTTP/1.1" 200 1062
127.0.0.1 - - [10/Apr/2017:16:52:43 +0800] "GET /owner/1 HTTP/1.1" 404 306
127.0.0.1 - - [10/Apr/2017:16:52:47 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [10/Apr/2017:16:52:47 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:16:58:48 +0800] "GET /services HTTP/1.1" 500 387
127.0.0.1 - - [10/Apr/2017:16:58:48 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [10/Apr/2017:16:59:03 +0800] "GET /services HTTP/1.1" 200 11574
127.0.0.1 - - [10/Apr/2017:16:59:03 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [10/Apr/2017:16:59:03 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:16:59:03 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:16:59:03 +0800] "GET /image/add.png HTTP/1.1" 200 1062
127.0.0.1 - - [10/Apr/2017:16:59:03 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:16:59:03 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [10/Apr/2017:16:59:08 +0800] "GET /services/1 HTTP/1.1" 200 186
127.0.0.1 - - [10/Apr/2017:16:59:11 +0800] "GET /services/2 HTTP/1.1" 200 196
127.0.0.1 - - [10/Apr/2017:16:59:13 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:16:59:13 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
